iter	Logloss
0	0.6871471734
1	0.679827533
2	0.6736810331
3	0.6670206598
4	0.6605985797
5	0.6549739704
6	0.6484386294
7	0.6437245609
8	0.6391588131
9	0.6332103923
10	0.6288988451
11	0.625414611
12	0.6214079772
13	0.6155054971
14	0.6115070079
15	0.606664471
16	0.6025981526
17	0.5993824358
18	0.5958550607
19	0.5921404236
20	0.5884052977
21	0.5846512101
22	0.580556831
23	0.57693872
24	0.5738615886
25	0.5705799515
26	0.5681640597
27	27	0.5631194905
28	0.5594020529229	0.5572241377
30	0.5547734408
31	0.5517801101
32	0.5504475775
33	0.5483666327
34	0.5463072583
35	0.545546136	036	0.5428724013
37	0.5411735526
38	0.5385997323
39	0.5366322392
40	0.5347425015
41	0.533338842	042	0.5310539212
43	0.5294341324
44	0.5289352758
45	0.5272018762
46	0.5257805166
47	0.5238016974
48	0.5219720261
49	0.5209764762
50	0.5191476004
51	0.5172997946
52	0.514900256
53	0.5132575288
54	0.5118597121
55	0.5098643174
56	0.5083137895
57	0.5071655602
58	0.5057208485
59	0.5044044778
60	0.5032818595
61	0.5015621721
62	0.5005395478
63	0.4990344197
64	0.4980159313
65	0.4970128414
66	0.4958743156
67	0.4950550199
68	0.4943388043
69	0.4929351974
70	0.4927506713
71	0.4918146152
72	0.4907163989
73	0.4900271304
74	0.4893652546
75	0.4884153272
76	0.4876232014
77	0.4867492478
78	0.4860362773
79	0.4851667778
80	0.4843134085
81	0.4832587148
82	0.482739783
83	0.4819354085
84	0.4808752109
85	0.4799769508
86	0.4791238359
87	0.4785620177
88	0.4777958847
89	0.4771826855
90	0.4761699556
91	0.4753670446
92	0.4742609382
93	0.4734742845
94	0.4728936319
95	0.472342599
96	0.4719323785
97	0.4707438398
98	0.4697382682
99	0.4692100465
100	0.4687759649
101	0.4679026476
102	0.4673416248
103	0.46689399
104	0.4662151887
105	0.4657206589
106	0.4648435874
107	0.4644204183
108	0.4638589819
109	0.4633081398
110	0.4629866509
111	0.4624033258
112	0.4616708847
113	0.4611820497
114	0.4607903773
115	0.4605342042
116	0.4599717179
117	0.4594578765
118	0.4589874305
119	0.458722731
120	0.4582574709
121	0.4577184639
122	0.4570976292
123	0.4570323451
124	0.4564369305
125	0.455978765
126	0.4556061178
127	0.4552606087
128	0.4548729449
129	0.4544632334
130	0.4536958596
131	0.4533944458
132	0.4530362744
133	0.452685134
134	0.452234795
135	0.4518900495
136	0.4516206096
137	0.4510465109
138	0.4506661645
139	0.4500529335
140	0.4497848617
141	0.4493449898
142	0.4491218405
143	0.4490636194
144	0.4486746512
145	0.4481193868
146	0.4478620366
147	0.4475851203
148	0.4473258612
149	0.4468573877
150	0.4466500822
151	0.4464466582
152	0.4461553615
153	0.4458891986
154	0.4457106219
155	0.44558174
156	0.4449144874
157	0.4445683102
158	0.4443499968
159	0.4438270563
160	0.4435502673
161	0.4433038932
162	0.4430263087
163	0.442467322
164	0.442104442
165	0.4417238729
166	0.4413829451
167	0.4410851901
168	0.4409161579
169	0.440759597
170	0.4406296016
171	0.4404017438
172	0.4401643733
173	0.4397717782
174	0.4394884989
175	0.4390345012
176	0.4387337873
177	0.438556006
178	0.4383583722
179	0.4380060866
180	0.4377547494
181	0.4375390129
182	0.4370975821
183	0.4368930445
184	0.4365432722
185	0.4362403313
186	0.4359270824
187	0.4356668371
188	0.4355490267
189	0.4352827047
190	0.4349079896
191	0.4346564933
192	0.434373564
193	0.4341105825
194	0.433897614
195	0.4336704879
196	0.4334467978
197	0.4332644988
198	0.4331455749
199	0.4329492137
200	0.4327584201
201	0.4325932375
202	0.4323685611
203	0.4321021119
204	0.4319124636
205	0.43173096
206	0.4315659046
207	0.4314013583
208	0.4312544374
209	0.4311063711
210	0.4309315486
211	0.4308254143
212	0.4306769981
213	0.4303530594
214	0.4302283453
215	0.4297811241
216	0.4295937029
217	0.4293245494
218	0.4290499237
219	0.4288856955
220	0.4287332388
221	0.4285784915
222	0.4283852163
223	0.4281170491
224	0.4279848902
225	0.427705556
226	0.4275480407
227	0.4272878272
228	0.4271412244
229	0.4270241776
230	0.4270051842
231	0.4268249849
232	0.426542851
233	0.4263177928
234	0.4261713809
235	0.4259672569
236	0.4257730592
237	0.4256248975
238	0.4255282758
239	0.4255067372
240	0.4251779945
241	0.4249910823
242	0.4246934227
243	0.4245808936
244	0.4244017125
245	0.4242930012
246	0.4241318272
247	0.423968967
248	0.4237909312
249	0.4235908795
250	0.423483409
251	0.4233481323
252	0.4233338793
253	0.4231455354
254	0.4230432826
255	0.4228514391
256	0.4226853975
257	0.4225547976
258	0.4223913966
259	0.4221834548
260	0.4219638052
261	0.4218664199
262	0.4217012055
263	0.421504208
264	0.4214100043
265	0.4212680147
266	0.4212374724
267	0.4210953237
268	0.4209861989
269	0.4208684203
270	0.4206402761
271	0.4205183617
272	0.4202234063
273	0.4201028281
274	0.4199615066
275	0.4198098135
276	0.4196408767
277	0.4194919514
278	0.4193517752
279	0.4192209845
280	0.4192088312
281	0.4190603195
282	0.4188820292
283	0.4187736679
284	0.4186165026
285	0.4185614629
286	0.4183254604
287	0.4182176718
288	0.4181969921
289	0.418020038
290	0.4179753382
291	0.4178770303
292	0.4175953736
293	0.4175258581
294	0.417342891
295	0.4172732802
296	0.41716231
297	0.4169233806
298	0.4168226548
299	0.4167336687
300	0.4165589098
301	0.4164166339
302	0.4163292067
303	0.4161239692
304	0.4160272839
305	0.4158601287
306	0.4157975171
307	0.4157042679
308	0.4155108655
309	0.4153952504
310	0.4153334659
311	0.4152147966
312	0.4151486536
313	0.4149995374
314	0.4149514334
315	0.4149354623
316	0.4148745369
317	0.4147208713
318	0.4146227543
319	0.4145507573
320	0.4144263613
321	0.41424034
322	0.4140792296
323	0.4138029814
324	0.4137294255
325	0.4136373534
326	0.4135372957
327	0.4134170674
328	0.4133298948
329	0.4132502622
330	0.4129738549
331	0.4128117584
332	0.4127200998
333	0.4125436865
334	0.4124359615
335	0.4123312271
336	0.4121749526
337	0.412107187
338	0.4119796731
339	0.411929342
340	0.4118146814
341	0.4116515349
342	0.4115823376
343	0.4114780168
344	0.4113475123
345	0.4112115993
346	0.4111527737
347	0.4110725049
348	0.4109474407
349	0.4108826339
350	0.4107552473
351	0.4106060994
352	0.4104351264
353	0.4103656746
354	0.4101864935
355	0.4100964893
356	0.409990355
35358	0.4012804901
359	0.4012182284
360	0.40108645136361	0.4010387927
362	0.4009271226
363	0.4007765112
364	0.4006218274
365	0.4004586173
