iter	Passed	Remaining
0	50	21067
1	63	13101
2	65	9045
3	73	7606
4	89	7338
5	98	6708
6	114	6717
7	117	5988
8	119	5406
9	121	4951
10	124	4580
11	143	4832
12	152	4712
13	160	4606
14	166	4451
15	175	4386
16	177	4171
17	189	4192
18	191	4007
19	199	3944
20	203	3828
21	205	3685
22	208	3556
23	210	3434
24	212	3327
25	215	3228
26	217	3132
27	248	3438
28	250	329	229	264	3406
30	274	3412
31	282	3395
32	293	3405
33	303	3414
34	310	3374
35	311	3288
36	326	3343
37	339	3375
38	346	3354
39	359	3375
40	361	3304
41	363	3236
42	395	3430
43	415	3510
44	419	3455
45	427	3437
46	433	3406
47	441	3382
48	443	3321
49	445	3260
50	460	3292
51	463	3245
52	467	3200
53	474	3182
54	485	3185
55	487	3133
56	499	3146
57	501	3095
58	513	3107
59	515	3060
60	524	3051
61	532	3038
62	544	3050
63	546	3006
64	568	3070
65	573	3042
66	579	3016
67	586	2999
68	595	2993
69	602	2975
70	603	2931
71	621	2969
72	630	2960
73	648	2995
74	650	2958
75	659	2951
76	681	2999
77	688	2984
78	701	2994
79	719	3022
80	725	3000
81	738	3006
82	740	2970
83	762	3012
84	766	2986
85	771	2959
86	773	2925
87	781	2914
88	791	2909
89	804	2914
90	806	2881
91	816	2876
92	829	2879
93	839	2875
94	843	2850
95	845	2819
96	854	2809
97	870	2823
98	872	2792
99	877	2771
100	895	2791
101	897	2762
102	903	2746
103	920	2761
104	932	2760
105	939	2747
106	948	2737
107	951	2713
108	958	2699
109	964	2682
110	967	2659
111	974	2644
112	981	2630
113	994	2633
114	1000	2619
115	1008	2609
116	1011	2586
117	1017	2568
118	1019	2543
119	1027	2533
120	1031	2515
121	1033	2490
122	1035	2466
123	1036	2441
124	1078	2510
125	1084	2496
126	1088	2476
127	1090	2452
128	1092	2429
129	1093	2406
130	1095	2384
131	1097	2362
132	1099	2340
133	1102	2319
134	1104	2298
135	1106	2278
136	1109	2259
137	1112	2241
138	1114	2221
139	1127	2223
140	1131	2207
141	1142	2204
142	1150	2197
143	1154	2180
144	1162	2173
145	1164	2154
146	1172	2146
147	1182	2140
148	1185	2124
149	1191	2113
150	1202	2109
151	1210	2102
152	1223	2102
153	1231	2094
154	1236	2082
155	1241	2068
156	1245	2054
157	1253	2046
158	1255	2029
159	1258	2013
160	1260	1996
161	1262	1980
162	1266	1965
163	1269	1950
164	1271	1934
165	1274	1919
166	1276	1903
167	1280	1890
168	1282	1875
169	1285	1859
170	1289	1846
171	1291	1832
172	1293	1817
173	1296	1802
174	1299	1790
175	1302	1776
176	1307	1765
177	1311	1753
178	1317	1744
179	1320	1730
180	1325	1720
181	1331	1711
182	1342	1709
183	1349	1701
184	1355	1692
185	1357	1678
186	1362	1667
187	1364	1654
188	1366	1641
189	1381	1643
190	1387	1634
191	1392	1624
192	1400	1618
193	1408	1611
194	1418	1608
195	1421	1596
196	1426	1586
197	1428	1573
198	1432	1562
199	1436	1550
200	1439	1539
201	1447	1533
202	1452	1523
203	1459	1516
204	1462	1505
205	1466	1494
206	1470	1484
207	1474	1474
208	1480	1466
209	1488	1460
210	1490	1448
211	1502	1445
212	1508	1438
213	1514	1429
214	1515	1417
215	1518	1405
216	1521	1395
217	1532	1392
218	1535	1381
219	1547	1379
220	1556	1373
221	1564	1366
222	1566	1355
223	1581	1355
224	1583	1344
225	1585	1332
226	1601	1333
227	1607	1325
228	1608	1313
229	1610	1302
230	1612	1291
231	1614	1280
232	1616	1269
233	1619	1259
234	1622	1249
235	1626	1240
236	1629	1230
237	1631	1220
238	1633	1209
239	1635	1199
240	1639	1190
241	1642	1180
242	1644	1171
243	1646	1160
244	1648	1150
245	1650	1140
246	1655	1132
247	1660	1124
248	1664	1116
249	1669	1108
250	1675	1101
251	1677	1091
252	1687	1087
253	1694	1080
254	1702	1075
255	1713	1070
256	1718	1063
257	1724	1056
258	1731	1049
259	1735	1041
260	1740	1033
261	1744	1025
262	1749	1017
263	1753	1009
264	1757	1001
265	1761	993
266	1763	984
267	1777	981
268	1781	973
269	1787	966
270	1791	958
271	1796	950
272	1799	942
273	1802	934
274	1806	926
275	1810	918
276	1812	909
277	1817	902
278	1822	894
279	1827	887
280	1831	879
281	1837	873
282	1839	864
283	1847	858
284	1854	852
285	1856	844
286	1862	837
287	1867	830
288	1869	821
289	1874	814
290	1876	805
291	1878	797
292	1880	789
293	1883	781
294	1885	773
295	1893	767
296	1901	761
297	1903	753
298	1908	746
299	1910	738
300	1921	733
301	1925	726
302	1931	720
303	1935	713
304	1941	706
305	1944	698
306	1946	691
307	1951	684
308	1963	679
309	1973	674
310	1978	667
311	1980	660
312	1983	652
313	1989	646
314	1993	639
315	1997	631
316	2000	624
317	2002	617
318	2006	610
319	2008	602
320	2011	595
321	2015	588
322	2020	581
323	2024	574
324	2029	568
325	2032	561
326	2034	553
327	2040	547
328	2044	540
329	2050	534
330	2062	529
331	2064	522
332	2081	518
333	2093	514
334	2102	508
335	2107	501
336	2110	494
337	2113	487
338	2116	480
339	2118	473
340	2122	466
341	2126	460
342	2128	453
343	2130	445
344	2133	439
345	2135	432
346	2137	425
347	2140	418
348	2142	411
349	2144	404
350	2147	397
351	2150	3356	2141	353
357	2143	347
358	2155	342
359	2161	336
360	2163	329
361	2169	323
362	2171	317
363	2175	310
364	2181	304
365	2188	298
366	2189	292
367	2193	286
368	2196	279
369	2198	273
370	2201	267
371	2205	260
372	2211	254
373	2216	248
374	2221	242
375	2225	236
376	2232	230
377	2235	224
378	2237	218
379	2241	212
380	2246	206
381	2248	200
382	2255	194
383	2260	188
